frame,time,Point-107 X,Point-107 Y,Point-117 X,Point-117 Y,Point-124 X,Point-124 Y,Point-133 X,Point-133 Y,Point-201 X,Point-201 Y,Point-202 X,Point-202 Y,Point-203 X,Point-203 Y,Point-205 X,Point-205 Y,Point-209 X,Point-209 Y,Point-210 X,Point-210 Y,Point-217 X,Point-217 Y,Point-219 X,Point-219 Y,Point-220 X,Point-220 Y,Point-221 X,Point-221 Y,Point-224 X,Point-224 Y,Point-225 X,Point-225 Y,Point-233 X,Point-233 Y,Point-238 X,Point-238 Y,Point-239 X,Point-239 Y,Point-240 X,Point-240 Y,Point-254 X,Point-254 Y,Point-304 X,Point-304 Y,Point-306 X,Point-306 Y,Point-307 X,Point-307 Y,Point-310 X,Point-310 Y,Point-312 X,Point-312 Y,Point-315 X,Point-315 Y,Point-319 X,Point-319 Y,Point-320 X,Point-320 Y,Point-324 X,Point-324 Y,Point-325 X,Point-325 Y,Point-327 X,Point-327 Y,Point-328 X,Point-328 Y,Point-340 X,Point-340 Y,Point-341 X,Point-341 Y,Point-345 X,Point-345 Y,Point-346 X,Point-346 Y
1,0.333333333,1039,1417,1626,1101,1655,887,1970,161,75,1809,2233,1732,2327,1686,2067,1664,1132,1573,818,1569,1445,1307,974,1317,568,1260,2208,1157,2299,1089,1034,1057,791,751,516,511,843,459,592,425,583,74,2130,1681,2161,1639,1437,1656,1195,1539,2221,1318,1622,1187,298,1114,1453,1103,1075,756,1419,725,1007,653,1219,573,687,429,1207,321,2161,225,1041,217
2,0.666666667,1039,1415,1625,1101,1653,888,1968,159,72,1799,2232,1732,2329,1684,2066,1665,1131,1573,818,1570,1445,1311,975,1316,567,1261,2206,1158,2298,1086,1032,1055,792,750,517,511,843,460,592,427,583,73,2134,1683,2160,1640,1437,1656,1199,1539,2226,1316,1622,1188,298,1114,1453,1104,1074,756,1416,725,1007,651,1216,569,694,430,1209,318,2163,227,1036,219
3,1,1039,1414,1623,1098,1652,890,1967,158,72,1800,2231,1733,2328,1683,2068,1664,1131,1575,818,1570,1447,1312,979,1316,569,1262,2208,1157,2295,1082,1030,1051,792,750,516,509,845,462,594,429,582,73,2132,1683,2154,1639,1437,1656,1201,1540,2226,1322,1625,1190,299,1114,1451,1101,1074,756,1423,724,1006,650,1212,570,690,434,1207,316,2160,227,1029,232
4,1.333333333,1039,1416,1625,1096,1652,892,1969,157,67,1802,2229,1733,2327,1682,2069,1665,1127,1575,816,1570,1444,1307,977,1316,570,1262,2207,1157,2294,1085,1026,1050,789,748,516,508,845,460,595,429,584,65,2129,1683,2151,1637,1437,1656,1204,1539,2229,1322,1625,1189,298,1116,1451,1102,1074,756,1425,724,1006,652,1211,572,689,437,1207,316,2162,226,1020,222
5,1.666666667,1041,1416,1629,1096,1650,894,1968,157,67,1804,2229,1733,2329,1679,2067,1666,1126,1577,818,1570,1440,1307,976,1316,573,1257,2207,1158,2294,1089,1027,1050,789,747,517,508,840,458,595,430,587,64,2123,1681,2151,1637,1437,1655,1205,1539,2228,1325,1625,1190,298,1116,1449,1104,1074,756,1410,729,1005,652,1210,567,684,437,1207,318,2160,227,1016,221
6,2,1041,1417,1635,1096,1647,896,1966,157,66,1804,2229,1735,2326,1681,2065,1665,1125,1577,819,1569,1441,1305,976,1316,572,1255,2206,1157,2294,1089,1026,1046,788,746,517,508,838,453,596,432,589,68,2122,1680,2149,1637,1437,1656,1208,1537,2221,1321,1625,1193,297,1116,1449,1107,1075,756,1420,725,1007,652,1209,570,684,438,1206,318,2159,224,1022,219
7,2.333333333,1046,1416,1636,1096,1645,897,1964,159,62,1802,2228,1735,2327,1679,2065,1666,1123,1576,818,1569,1446,1308,975,1317,570,1254,2206,1157,2295,1087,1026,1044,788,746,517,508,831,449,596,430,591,69,2120,1680,2151,1640,1437,1656,1209,1540,2219,1322,1624,1194,298,1114,1450,1108,1075,756,1421,724,1005,651,1208,572,681,435,1209,319,2160,222,1025,222
8,2.666666667,1050,1417,1633,1097,1642,894,1961,159,61,1801,2230,1735,2328,1678,2066,1670,1123,1575,819,1571,1443,1309,975,1316,572,1255,2207,1157,2294,1087,1027,1043,791,747,516,507,834,443,595,428,593,70,2120,1678,2148,1643,1437,1656,1207,1541,,,1624,1192,298,1116,1451,1108,1075,756,1422,727,1007,653,1208,571,680,438,1208,320,2161,223,1017,224
9,3,1050,1418,1632,1094,1641,893,1960,158,63,1802,2231,1732,2326,1679,2064,1667,1123,1576,819,1572,1444,1313,976,1319,571,1256,2206,1158,2294,1086,1031,1041,794,749,515,506,836,443,596,427,594,68,2119,1679,2145,1643,1437,1656,1209,1542,,,1628,1188,297,1116,1451,1108,1075,756,1421,727,1006,653,1206,570,677,439,1208,317,2162,224,1023,220
10,3.333333333,1050,1419,1628,1092,1640,892,1961,159,64,1804,2232,1736,2325,1679,2062,1667,1123,1576,818,1571,1441,1311,977,1317,569,1256,2206,1158,2298,1085,1032,1041,792,750,515,506,837,445,599,428,597,69,2122,1680,2150,1639,1437,1656,1207,1543,2236,1318,1627,1194,298,1115,1451,1107,1075,756,1418,729,1005,652,1207,571,677,441,1205,316,2161,228,1012,221
