frame,Time,Point-101 X,Point-101 Y,Point-102 X,Point-102 Y,Point-103 X,Point-103 Y,Point-104 X,Point-104 Y,Point-105 X,Point-105 Y,Point-106 X,Point-106 Y,Point-107 X,Point-107 Y,Point-108 X,Point-108 Y,Point-109 X,Point-109 Y,Point-110 X,Point-110 Y,Point-111 X,Point-111 Y,Point-112 X,Point-112 Y,Point-113 X,Point-113 Y,Point-114 X,Point-114 Y,Point-115 X,Point-115 Y,Point-116 X,Point-116 Y,Point-117 X,Point-117 Y,Point-118 X,Point-118 Y,Point-119 X,Point-119 Y,Point-120 X,Point-120 Y,Point-121 X,Point-121 Y,Point-122 X,Point-122 Y,Point-123 X,Point-123 Y,Point-124 X,Point-124 Y,Point-125 X,Point-125 Y,Point-126 X,Point-126 Y,Point-127 X,Point-127 Y,Point-128 X,Point-128 Y,Point-129 X,Point-129 Y,Point-130 X,Point-130 Y,Point-131 X,Point-131 Y,Point-132 X,Point-132 Y,Point-133 X,Point-133 Y,Point-134 X,Point-134 Y,Point-135 X,Point-135 Y,Point-136 X,Point-136 Y,Point-137 X,Point-137 Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.333333333,1396,1835,1841,1776,1366,1765,1104,1683,2478,1657,1369,1623,776,1439,1056,1370,514,1385,585,1255,1918,1158,201,1156,274,1147,593,1177,629,1155,579,1132,613,1125,361,959,483,939,1039,870,2321,824,2179,815,1136,802,354,784,265,528,1523,522,720,491,1068,439,952,428,894,432,2108,409,298,377,1919,295,1279,296,854,184,2319,132,554,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.666666667,1397,1834,1843,1771,1366,1765,1105,1683,2476,1659,1369,1620,776,1437,1054,1371,513,1384,587,1257,1917,1162,199,1160,277,1144,592,1177,628,1156,578,1132,612,1125,360,960,483,942,1039,871,2325,827,2183,814,1134,802,,,266,528,1522,525,720,489,1074,438,954,429,895,432,2107,413,297,376,1919,298,1279,296,854,181,2318,133,553,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1397,1835,1842,1768,1366,1763,1109,1685,2477,1661,1371,1617,793,1434,1053,1368,512,1382,583,1256,1916,1162,197,1160,278,1147,591,1176,627,1155,578,1131,613,1125,370,968,485,945,1038,873,,,2184,818,1134,801,350,781,265,526,1523,527,722,490,1077,435,950,423,895,431,2105,413,297,375,1916,300,1280,296,857,184,2304,142,,,2506,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.333333333,1395,1833,1843,1765,1366,1762,1110,1683,2478,1660,1372,1620,776,1432,1050,1368,512,1381,580,1253,1916,1161,193,1161,277,1143,589,1176,626,1156,578,1130,612,1125,369,969,481,945,1038,872,2329,823,2184,820,1135,802,,,265,525,1526,530,723,492,1075,435,946,425,894,430,2103,407,296,374,1917,297,1282,301,859,182,2318,132,,,2502,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.666666667,1393,1831,1843,1767,1366,1762,1110,1680,2480,1660,1372,1620,769,1429,1046,1367,515,1382,579,1253,1919,1159,196,1163,280,1141,588,1176,626,1156,577,1130,612,1125,368,966,478,947,1039,872,,,2183,824,1134,800,,,268,528,1527,529,725,493,1076,431,945,424,894,429,2104,407,298,374,1913,297,1284,300,861,184,2313,136,557,56,2505,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,1395,1831,1841,1769,1365,1761,1109,1680,2480,1659,1373,1619,776,1423,1046,1366,514,1383,581,1255,1917,1163,193,1165,279,1146,587,1175,625,1156,576,1129,611,1125,369,966,475,951,1039,872,,,2180,823,1131,802,,,268,530,1525,528,724,495,1077,432,948,422,893,428,2107,409,299,374,1910,298,1286,301,862,183,2322,131,559,57,2509,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.333333333,1396,1831,1840,1772,1365,1760,1104,1680,2475,1660,1373,1618,776,1422,1047,1367,514,1383,581,1256,1913,1168,194,1166,285,1144,585,1175,623,1156,575,1129,610,1125,369,967,476,957,1038,871,2321,832,2181,822,1134,802,,,269,533,1527,526,722,496,1075,432,948,419,892,428,2108,408,299,375,1909,304,1288,302,862,184,2319,132,559,56,2506,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.666666667,1396,1831,1839,1772,1364,1760,1102,1679,2475,1660,1370,1616,776,1426,1046,1369,516,1385,580,1258,1912,1167,193,1163,285,1144,584,1174,623,1157,576,1128,611,1125,371,967,476,956,1036,871,2325,836,2182,827,1137,801,,,270,535,1527,526,722,495,1074,432,950,419,891,431,2113,406,300,376,1913,302,1289,305,862,188,2327,127,564,57,2502,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,1397,1830,1839,1771,1364,1761,1102,1678,2476,1661,1370,1616,777,1429,1047,1371,514,1386,580,1261,1908,1165,191,1162,287,1136,585,1175,624,1158,576,1129,611,1125,371,969,477,956,1036,872,2325,838,2181,830,1138,802,343,783,271,534,1526,529,724,493,1073,432,945,421,889,430,2117,405,300,377,1917,305,1293,306,863,190,2328,130,565,61,2505,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3.333333333,1396,1827,1837,1771,1364,1761,1099,1679,2477,1661,1373,1617,778,1430,1047,1370,515,1385,578,1260,1907,1163,188,1161,290,1134,585,1175,623,1157,575,1129,610,1126,367,970,477,958,1035,872,,,2178,828,1138,798,,,270,532,1524,530,725,494,1075,434,939,424,888,429,2116,406,301,376,1920,308,1295,305,863,192,2327,130,567,64,2508,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
