Frame,Time,Point-201 X,Point-201 Y,Point-202 X,Point-202 Y,Point-203 X,Point-203 Y,Point-204 X,Point-204 Y,Point-205 X,Point-205 Y,Point-206 X,Point-206 Y,Point-207 X,Point-207 Y,Point-208 X,Point-208 Y,Point-209 X,Point-209 Y,Point-210 X,Point-210 Y,Point-211 X,Point-211 Y,Point-212 X,Point-212 Y,Point-213 X,Point-213 Y,Point-214 X,Point-214 Y,Point-215 X,Point-215 Y,Point-216 X,Point-216 Y,Point-217 X,Point-217 Y,Point-218 X,Point-218 Y,Point-219 X,Point-219 Y,Point-220 X,Point-220 Y,Point-221 X,Point-221 Y,Point-222 X,Point-222 Y,Point-223 X,Point-223 Y,Point-224 X,Point-224 Y,Point-225 X,Point-225 Y,Point-226 X,Point-226 Y,Point-227 X,Point-227 Y,Point-228 X,Point-228 Y,Point-229 X,Point-229 Y,Point-230 X,Point-230 Y,Point-231 X,Point-231 Y,Point-232 X,Point-232 Y,Point-233 X,Point-233 Y,Point-234 X,Point-234 Y,Point-235 X,Point-235 Y,Point-236 X,Point-236 Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.333333333,964,1833,1112,1791,1591,1717,702,1691,1241,1692,1019,1613,2088,1539,546,1498,2219,1471,578,1387,2416,1377,879,1290,2176,1179,864,1166,261,1132,1362,1113,2326,1072,1863,837,768,880,796,853,807,808,853,788,1899,557,1539,548,650,523,2258,440,1063,425,272,386,2314,399,351,348,221,309,2133,309,1419,256,1992,230,157,129,1684,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.666666667,964,1833,1112,1788,1590,1719,704,1688,1242,1693,1021,1612,2089,1539,542,1504,2233,1463,580,1386,2416,1375,881,1287,2175,1178,863,1166,259,1130,1364,1112,2326,1072,1861,840,767,879,796,854,799,809,853,788,1900,559,1539,548,648,524,2258,440,1064,425,271,386,2314,399,350,348,219,309,2131,307,1417,257,1988,234,156,129,1683,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,964,1833,1111,1788,1593,1716,705,1690,1241,1692,1023,1608,2090,1541,540,1511,2233,1463,583,1385,2417,1373,882,1287,2176,1179,862,1165,259,1131,1365,1112,2326,1073,1860,842,768,879,796,854,806,808,853,788,1902,559,1541,547,646,526,2258,440,1065,425,271,385,2314,399,351,349,217,306,2128,309,1419,258,1985,238,156,130,1682,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.333333333,964,1833,1110,1786,1593,1716,705,1689,1241,1692,1024,1606,2088,1542,538,1511,2233,1462,,,2417,1371,885,1287,2178,1174,861,1166,260,1132,1366,1112,2326,1073,1860,840,767,879,796,854,806,808,853,788,1895,556,1542,545,646,525,2258,440,1066,424,271,386,2314,399,353,347,216,304,2130,309,1416,257,1985,239,153,128,1681,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.666666667,964,1833,1109,1789,1592,1718,706,1691,1242,1692,1027,1605,2087,1542,538,1508,2234,1463,,,2415,1371,885,1286,2177,1174,861,1167,259,1132,1367,1110,2326,1072,1858,841,768,880,796,854,805,807,853,788,1898,551,1541,547,643,522,2258,440,1066,424,272,385,2314,399,353,347,217,298,2129,308,1419,255,1977,247,153,125,1677,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,964,1833,1110,1791,1592,1718,706,1692,1242,1690,1028,1607,2087,1540,536,1506,2238,1465,,,2417,1373,889,1292,2177,1178,861,1167,260,1132,1367,1109,2326,1073,1858,844,768,880,796,854,806,807,853,788,1900,551,1541,549,640,522,2258,440,1066,426,272,384,2314,400,352,347,219,294,2128,307,1418,256,1985,239,154,123,1676,90,1078,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.333333333,964,1833,1110,1794,1592,1716,705,1697,1243,1689,1030,1608,2082,1543,536,1504,2239,1465,580,1386,2417,1371,889,1292,2177,1178,862,1167,260,1133,1368,1106,2326,1073,1857,845,768,880,796,854,821,808,853,788,1905,550,1541,551,639,525,2258,440,1067,424,275,384,2314,399,353,349,217,292,2129,306,1419,254,1989,237,154,124,1673,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.666666667,964,1833,1110,1796,1592,1721,703,1697,1243,1688,1029,1610,2081,1543,532,1502,2239,1461,579,1385,2412,1374,888,1290,2179,1177,862,1168,261,1134,1366,1105,2326,1072,1858,847,768,880,796,854,806,807,853,788,1911,553,1542,554,640,525,2258,440,1067,425,275,382,2314,399,351,349,218,295,2130,303,1418,252,1988,234,157,124,1672,91,1077,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,964,1833,1114,1797,1592,1721,696,1698,1243,1687,1031,1611,2080,1543,533,1490,2239,1460,577,1387,2413,1379,888,1289,2182,1177,863,1169,261,1134,1364,1103,2326,1072,1860,847,767,879,796,854,797,807,853,788,1913,552,1542,555,640,526,2258,440,1069,425,276,383,2314,399,352,346,222,297,2131,305,1418,253,1988,232,156,127,1670,93,1077,55,464,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3.333333333,964,1833,1115,1795,1589,1722,697,1696,1244,1688,1031,1614,2080,1541,527,1493,2241,1461,575,1387,2412,1378,891,1287,2179,1179,866,1169,262,1134,1363,1102,2326,1072,1859,844,768,880,796,854,821,808,853,788,1916,552,1539,556,641,527,2258,440,1070,424,273,381,2314,400,354,345,225,295,2133,306,1414,253,1988,231,157,126,1667,95,1079,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
