Frame,Time,Point-154250 X,Point-154250 Y,Point-154948 X,Point-154948 Y,Point-155505 X,Point-155505 Y,Point-155614 X,Point-155614 Y,Point-155746 X,Point-155746 Y,Point-160018 X,Point-160018 Y,Point-161826 X,Point-161826 Y,Point-162717 X,Point-162717 Y,Point-162918 X,Point-162918 Y,Point-164408 X,Point-164408 Y,Point-164408 X,Point-164408 Y,Point-165848 X,Point-165848 Y
0,0,9.11,-7.69,11.28,8.54,14.05,6.91,9.7,5.86,13.17,13.88,9.4,8.99,14.73,10.44,10.13,-5.37,10.35,-4.53,6.64,-5.86,10.06,-5.01,13.78,-3.68
1,0.033333333,9.14,-7.65,11.45,8.48,14.01,7.09,9.75,5.84,13.47,14.05,9.56,9.28,14.84,10.44,10.08,-5.34,10.4,-4.55,6.58,-5.88,10.03,-5.06,13.79,-3.69
2,0.066666667,9.21,-7.71,11.67,8.33,14.14,7.27,9.83,5.77,13.64,14.21,9.54,9.24,14.88,10.45,10.01,-5.33,10.46,-4.54,6.55,-5.92,10.06,-5.05,13.93,-3.69
3,0.1,9.15,-7.78,11.85,8.18,14.2,7.28,9.92,5.74,13.71,14.32,,,14.93,10.47,10.05,-5.28,10.49,-4.53,6.52,-5.95,10.08,-5.01,13.97,-3.68
4,0.133333333,9.02,-7.79,11.92,8.15,14.12,7.12,9.68,5.6,13.76,14.24,9.43,8.84,15.01,10.45,9.95,-5.3,10.51,-4.54,6.47,-5.95,10.1,-5.04,13.88,-3.52
5,0.166666667,8.95,-7.72,11.91,8.17,14.1,7.21,9.62,5.6,13.59,14.18,9.33,8.53,15.01,10.46,9.87,-5.34,10.49,-4.57,6.44,-5.92,10.1,-5.1,14.02,-3.49
6,0.2,8.99,-7.66,11.8,8.25,13.92,6.93,9.49,5.56,13.64,14.14,9.23,8.41,15.03,10.46,9.83,-5.32,10.46,-4.58,6.42,-5.95,10.06,-5.12,14.12,-3.56
7,0.233333333,9.12,-7.68,11.72,8.34,13.9,7.03,9.46,5.61,13.68,14.12,9.25,8.55,15.03,10.43,9.8,-5.29,10.46,-4.57,6.46,-5.94,10.06,-5.02,14.29,-3.6
8,0.266666667,9.19,-7.73,11.57,8.3,13.96,7.16,9.46,5.58,13.61,13.97,9.21,8.6,15.01,10.45,9.73,-5.31,10.47,-4.56,6.46,-5.91,10.06,-5.01,14.41,-3.69
9,0.3,9.19,-7.8,11.52,8.26,14.1,7.18,9.64,5.63,13.31,13.83,9.44,9.02,14.99,10.43,9.7,-5.34,10.48,-4.57,6.48,-5.91,10.07,-5.02,14.42,-3.78
10,0.333333333,9.21,-7.77,11.62,8.19,14.21,7.15,9.63,5.72,13.18,13.85,9.39,9,14.96,10.44,9.73,-5.37,10.52,-4.62,6.48,-5.94,10.09,-5.05,14.45,-3.83
11,0.366666667,9.27,-7.72,11.83,8.2,14.16,7.1,9.71,5.84,13.2,13.87,9.52,9.11,15.05,10.46,9.76,-5.41,10.49,-4.67,6.47,-5.98,10.1,-5.05,14.43,-3.85
12,0.4,9.34,-7.72,12.13,8.25,14.08,7.03,9.7,5.94,13.49,13.94,9.68,9.15,15.05,10.45,9.83,-5.41,10.46,-4.68,6.48,-5.99,10.11,-5.06,14.44,-3.71
13,0.433333333,9.33,-7.78,12.4,8.28,13.96,6.99,9.6,5.98,13.69,13.78,9.94,9.49,15.06,10.41,9.88,-5.41,10.42,-4.66,6.47,-5.92,10.13,-5.03,14.44,-3.76
14,0.466666667,9.29,-7.82,12.5,8.31,13.85,6.99,9.47,5.93,13.54,13.73,9.94,9.32,15.03,10.44,9.88,-5.47,10.38,-4.64,6.48,-5.94,10.13,-5.01,14.47,-3.78
15,0.5,9.28,-7.8,12.55,8.3,13.79,7.03,9.69,6.04,13.24,13.75,9.97,9.24,15.04,10.48,9.87,-5.54,10.35,-4.64,6.49,-5.91,10.13,-5.07,14.5,-3.82
16,0.533333333,9.3,-7.78,12.59,8.26,13.72,6.7,9.87,5.93,12.95,13.91,10.03,9.14,15.07,10.53,9.9,-5.57,10.32,-4.67,6.5,-5.95,10.06,-5.12,14.56,-3.85
17,0.566666667,9.33,-7.78,12.6,8.27,13.9,6.73,9.96,5.8,12.8,13.99,10.11,9.06,15.02,10.5,9.94,-5.61,10.3,-4.65,6.46,-5.94,10.03,-5.17,14.6,-3.85
18,0.6,9.33,-7.76,12.57,8.37,14.1,6.82,9.87,5.6,12.82,14.08,10.08,9.08,14.99,10.5,9.96,-5.63,10.3,-4.61,6.44,-5.87,10.13,-5.13,14.63,-3.94
19,0.633333333,9.3,-7.78,12.54,8.48,14.19,6.83,9.77,5.53,12.87,14.16,10.01,9.13,15.03,10.57,10.05,-5.59,10.33,-4.55,6.47,-5.87,10.14,-5.1,14.49,-3.89
20,0.666666667,9.27,-7.76,12.51,8.5,14.01,6.72,9.63,5.47,12.88,14.29,9.97,9.27,15.03,10.58,10.09,-5.56,10.37,-4.55,6.5,-5.93,10.07,-5.06,14.41,-3.96
21,0.7,9.24,-7.75,12.55,8.47,13.8,6.67,9.77,5.43,12.86,14.43,10,9.34,14.98,10.58,10.17,-5.55,10.38,-4.52,6.47,-5.96,10.02,-5.09,14.46,-3.94
22,0.733333333,9.21,-7.77,12.7,8.39,13.67,6.72,9.77,5.43,12.82,14.46,10.01,9.33,14.97,10.53,10.25,-5.49,10.38,-4.49,6.49,-5.96,10.02,-5.09,14.46,-3.97
23,0.766666667,9.05,-7.86,12.79,8.27,13.66,6.78,9.74,5.4,12.82,14.31,9.99,9.22,14.95,10.53,10.27,-5.47,10.38,-4.46,6.52,-5.89,10.01,-5.09,14.5,-3.9
24,0.8,8.8,-7.84,12.81,8.14,13.74,6.81,9.52,5.28,12.87,14.02,10.05,9.15,15,10.49,10.32,-5.45,10.41,-4.4,6.52,-5.86,9.93,-5.16,14.59,-3.93
25,0.833333333,8.6,-7.75,12.83,8.05,13.82,6.76,9.38,5.09,13.12,13.87,10.1,9.11,15.06,10.45,10.32,-5.42,10.42,-4.37,6.52,-5.87,9.92,-5.14,,
26,0.866666667,8.48,-7.64,12.86,7.95,13.98,6.76,9.36,4.78,13.36,13.65,10.19,9.13,15.09,10.47,10.35,-5.45,10.4,-4.37,6.53,-5.93,9.89,-5.14,14.85,-3.87
27,0.9,8.4,-7.56,13.04,7.7,14.11,6.76,9.32,4.7,13.51,13.45,10.21,9.15,15.16,10.47,10.39,-5.47,10.34,-4.37,6.52,-5.94,9.93,-5.16,14.87,-3.89
28,0.933333333,8.38,-7.54,13.25,7.41,14.12,6.73,9.09,4.85,13.48,13.45,10.19,9.15,15.17,10.39,10.35,-5.47,10.3,-4.37,6.51,-5.93,9.96,-5.17,14.88,-3.89
29,0.966666667,8.36,-7.56,13.34,7.02,14.13,7.03,8.94,4.82,13.48,13.44,10.06,9.13,15.14,10.31,10.33,-5.43,10.3,-4.33,6.48,-5.91,10.04,-5.18,14.87,-3.92
30,1,8.38,-7.6,13.41,6.65,14.16,7.43,9.02,4.68,13.61,13.34,9.57,9.13,15.12,10.29,10.37,-5.48,10.32,-4.26,6.49,-5.9,10.03,-5.2,14.91,-3.93
31,1.033333333,8.41,-7.7,13.41,6.46,14.07,7.55,9.15,4.65,13.59,13.27,9.57,9.22,15.09,10.28,10.31,-5.49,10.3,-4.24,6.44,-5.9,10.03,-5.16,14.91,-3.89
32,1.066666667,8.42,-7.79,13.41,6.42,13.97,7.3,9.36,4.85,13.68,13.21,9.62,9.3,15.11,10.29,10.27,-5.48,10.26,-4.24,6.4,-5.94,10.05,-5.16,15,-3.89
